Ordem;EMISSORES_ENTUPIDOS;LM;CUC;EQ_MILHO;K;KLM;KCUC;KEQ_MILHO
1;0;2.977400891;91.82272134;-12911.0292;145;431.7231292;91.82272134;7574.647812
2;3;2.955109004;91.93935752;-12913.16291;145;428.4908056;91.93935752;7573.975224
3;03, 06;2.92813607;90.97240244;-12915.74482;145;424.5797302;90.97240244;7570.037889
4;03, 06, 09;2.866771609;89.08663975;-12921.61937;145;415.6818833;89.08663975;7548.33825
5;03, 06, 09, 12;2.845376799;88.14687253;-12923.66774;145;412.5796359;88.14687253;7536.610632
6;03, 06, 09, 12, 15;2.766198832;86.69241381;-12931.24923;145;401.0988306;86.69241381;7474.490894
7;03, 06, 09, 12, 15, 18;2.755465162;86.91689293;-12932.27712;145;399.5424485;86.91689293;7463.801187
8;03, 06, 09, 12, 15, 18, 21;2.72017742;85.48352688;-12935.65655;145;394.4257259;85.48352688;7424.840629
9;03, 06, 09, 12, 15, 18, 21, 24;2.652580068;83.02927933;-12942.13098;145;384.6241099;83.02927933;7333.85979
10;03, 06, 09, 12, 15, 18, 21, 24, 27;2.604583186;83.51739347;-12946.72871;145;377.664562;83.51739347;7256.218194
11;03, 06, 09, 12, 15, 18, 21, 24, 27, 30;2.425160971;85.08635236;-12963.92053;145;351.6483408;85.08635236;6870.064172
12;03, 06, 09, 12, 15, 18, 21, 24, 27, 30, 33;2.399964158;85.24648956;-12966.3354;145;347.9948029;85.24648956;6803.716302
13;03, 06, 09, 12, 15, 18, 21, 24, 27, 30, 33, 36;2.224700246;82.57391207;-12983.13672;145;322.5815357;82.57391207;6259.629296
14;03, 06, 09, 12, 15, 18, 21, 24, 27, 30, 36;2.249897058;84.11733132;-12980.72086;145;326.2350734;84.11733132;6346.73805
15;03, 06, 09, 12, 15, 18, 21, 24, 27, 33;2.579386373;84.67833033;-12949.14257;145;374.0110241;84.67833033;7211.123783
16;03, 06, 09, 12, 15, 18, 21, 24, 27, 33, 36;2.404122461;80.69075135;-12965.93686;145;348.5977568;80.69075135;6814.871523
17;03, 06, 09, 12, 15, 18, 21, 24, 27, 36;2.429319273;81.21926071;-12963.52201;145;352.2512946;81.21926071;6880.726819
18;03, 06, 09, 12, 15, 18, 21, 24, 30;2.473157853;85.07627531;-12959.32087;145;358.6078887;85.07627531;6988.191038
19;03, 06, 09, 12, 15, 18, 21, 24, 30, 33;2.447961041;85.17072169;-12961.73548;145;354.9543509;85.17072169;6927.528642
20;03, 06, 09, 12, 15, 18, 21, 24, 30, 33, 36;2.272697128;82.05596491;-12978.53491;145;329.5410836;82.05596491;6422.988614
21;03, 06, 09, 12, 15, 18, 21, 24, 30, 36;2.297893941;83.58867569;-12976.11932;145;333.1946214;83.58867569;6504.411901
22;03, 06, 09, 12, 15, 18, 21, 24, 33;2.627383256;84.20248792;-12944.54457;145;380.9705721;84.20248792;7294.450852
23;03, 06, 09, 12, 15, 18, 21, 24, 33, 36;2.452119343;79.9105639;-12961.33698;145;355.5573047;79.9105639;6937.745571
24;03, 06, 09, 12, 15, 18, 21, 24, 36;2.477316156;80.60003574;-12958.9224;145;359.2108426;80.60003574;6997.915399
25;03, 06, 09, 12, 15, 18, 21, 27;2.672180537;86.56854108;-12940.25355;145;387.4661779;86.56854108;7362.451864
26;03, 06, 09, 12, 15, 18, 21, 27, 30;2.492758322;87.45800722;-12957.44266;145;361.4499567;87.45800722;7033.316067
27;03, 06, 09, 12, 15, 18, 21, 27, 30, 33;2.46756151;87.85767358;-12959.85716;145;357.796419;87.85767358;6974.975444
28;03, 06, 09, 12, 15, 18, 21, 27, 30, 33, 36;2.292297598;84.28400881;-12976.65582;145;332.3831517;84.28400881;6486.585205
29;03, 06, 09, 12, 15, 18, 21, 27, 30, 36;2.31749441;85.76693917;-12974.24034;145;336.0366895;85.76693917;6565.686715
30;03, 06, 09, 12, 15, 18, 21, 27, 33;2.646983725;87.81818369;-12942.66704;145;383.8126401;87.81818369;7325.364699
31;03, 06, 09, 12, 15, 18, 21, 27, 33, 36;2.471719812;83.24700472;-12959.45868;145;358.3993727;83.24700472;6984.809204
32;03, 06, 09, 12, 15, 18, 21, 27, 36;2.496916625;84.04045069;-12957.0442;145;362.0529106;84.04045069;7042.657258
33;03, 06, 09, 12, 15, 18, 21, 30;2.540755205;87.0910203;-12952.84373;145;368.4095047;87.0910203;7136.190103
34;03, 06, 09, 12, 15, 18, 21, 30, 33;2.515558392;87.46704666;-12955.25796;145;364.7559668;87.46704666;7083.534948
35;03, 06, 09, 12, 15, 18, 21, 30, 33, 36;2.34029448;83.29826756;-12972.05474;145;339.3426996;83.29826756;6634.691691
36;03, 06, 09, 12, 15, 18, 21, 30, 36;2.365491292;84.86770289;-12969.63953;145;342.9962373;84.86770289;6708.10773
37;03, 06, 09, 12, 15, 18, 21, 33;2.694980607;86.63648208;-12938.06976;145;390.772188;86.63648208;7393.438934
38;03, 06, 09, 12, 15, 18, 21, 33, 36;2.519716695;81.86797558;-12954.85952;145;365.3589208;81.86797558;7092.430422
39;03, 06, 09, 12, 15, 18, 21, 36;2.544913507;82.71803783;-12952.44532;145;369.0124585;82.71803783;7144.593002
