Ordem;EMISSORES_ENTUPIDOS;LM;CUC
1;0;2.742825413;91.09865535
2;3;2.708467939;91.03002928
2050;6;2.705843047;89.71160042
3074;9;2.676436037;88.73288799
3586;12;2.673295673;89.2184698
3842;15;2.625468841;86.57759906
3970;18;2.649228928;87.41008623
4034;21;2.663242199;87.39312818
4066;24;2.612493991;84.19930843
4082;27;2.625801651;87.47307998
4090;30;2.479864058;83.0075712
4094;33;2.553319754;85.87817097
4096;36;2.500078039;80.82867381
3;03, 06;2.668062915;89.44337457
4;03, 06, 09;2.601673539;87.02421508
5;03, 06, 09, 12;2.531837105;84.59940539
6;03, 06, 09, 12, 15;2.414480533;80.58821248
7;03, 06, 09, 12, 15, 18;2.320562481;78.37924044
8;03, 06, 09, 12, 15, 18, 21;2.237763591;75.48513587
9;03, 06, 09, 12, 15, 18, 21, 24;2.106926976;71.04202169
10;03, 06, 09, 12, 15, 18, 21, 24, 27;1.989903214;70.91381235
11;03, 06, 09, 12, 15, 18, 21, 24, 27, 30;1.726941858;74.97259909
12;03, 06, 09, 12, 15, 18, 21, 24, 27, 30, 33;1.535327616;74.56842445
13;03, 06, 09, 12, 15, 18, 21, 24, 27, 30, 33, 36;1.292580242;65.35784701
14;03, 06, 09, 12, 15, 18, 21, 24, 27, 30, 36;1.484194483;76.74516047
15;03, 06, 09, 12, 15, 18, 21, 24, 27, 33;1.796180389;77.88184386
16;03, 06, 09, 12, 15, 18, 21, 24, 27, 33, 36;1.553433015;67.21426504
17;03, 06, 09, 12, 15, 18, 21, 24, 27, 36;1.747155839;70.72434553
18;03, 06, 09, 12, 15, 18, 21, 24, 30;1.84396562;77.64690682
19;03, 06, 09, 12, 15, 18, 21, 24, 30, 33;1.652351379;76.99761928
20;03, 06, 09, 12, 15, 18, 21, 24, 30, 33, 36;1.409604004;65.86468509
21;03, 06, 09, 12, 15, 18, 21, 24, 30, 36;1.601218245;77.76243148
22;03, 06, 09, 12, 15, 18, 21, 24, 33;1.913204152;78.02350954
23;03, 06, 09, 12, 15, 18, 21, 24, 33, 36;1.670456777;66.78580819
24;03, 06, 09, 12, 15, 18, 21, 24, 36;1.864179601;70.43037277
25;03, 06, 09, 12, 15, 18, 21, 27;2.120324488;77.8234244
26;03, 06, 09, 12, 15, 18, 21, 27, 30;1.857363133;79.68073206
27;03, 06, 09, 12, 15, 18, 21, 27, 30, 33;1.665748891;78.50597701
28;03, 06, 09, 12, 15, 18, 21, 27, 30, 33, 36;1.423001516;66.24035504
29;03, 06, 09, 12, 15, 18, 21, 27, 30, 36;1.614615758;79.83706849
30;03, 06, 09, 12, 15, 18, 21, 27, 33;1.926601664;84.12121651
31;03, 06, 09, 12, 15, 18, 21, 27, 33, 36;1.683854289;70.93610543
32;03, 06, 09, 12, 15, 18, 21, 27, 36;1.877577114;76.23258629
33;03, 06, 09, 12, 15, 18, 21, 30;1.974802235;79.24277642
34;03, 06, 09, 12, 15, 18, 21, 30, 33;1.783187993;77.38843641
35;03, 06, 09, 12, 15, 18, 21, 30, 33, 36;1.540440619;63.93149274
