emitters;;FlowMeasured;FlowReference
1;;173.27;182
2;;168.8;182
3;;177;182
4;;171.93;182
5;;174.6;182
6;;200.6;213
7;;248.7;248
8;;245.3;248
9;;323.4;286
10;;311.2;325
11;;336.1;325
12;;373.44;368
13;;363.42;368
14;;411.84;411
15;;428.64;411
16;;456.12;459
17;;474.12;459
18;;555.2;509
19;;490.4;509
20;;598;561
21;;566.27;561
22;;672.75;618
23;;652.5;618
24;;706.11;675
25;;759.43;736
26;;801.77;736
27;;777;736
28;;800;736
29;;841;799
30;;889.2;799
31;;878.4;799
32;;912.72;865
33;;913.68;865
34;;973.44;865
35;;1011.84;933
36;;1051.2;933
